43591;# doc = C:\Users\Александр\Desktop\Olesar\LiveCorpus\Опоздавшие(1)\family.2.txt;;;;;;;;;;;;;;;;;
43592;"<speech role=""Н@"" />";;;;;;;;;;;;;;;;;
43593;;Ну;НУ;PART;PART;;;//   Ну , это ещё;у;Н;;;;;У;НУ;PART;PART
43594;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43595;;это;ЭТО;S;n - nom sg;;; Ну , это ещё ж и;о;т;э;;;;О;ЭТО;S;n - nom sg
43596;;ещё;ЕЩЕ;ADV;PART;;;Ну , это ещё ж и от;ё;щ;е;;;;Е;ЕЩЕ;ADV;-
43597;;ж;Ж;PART;PART;;;, это ещё ж и от характера;ж;;;;;;Ж;Ж;PART;PART
43598;;и;И;CONJ;CONJ;;;это ещё ж и от характера зависит.;и;;;;;;И;И;CONJ;CONJ
43599;;от;ОТ;PR;PR;;;ещё ж и от характера зависит. ;т;о;;;;;Т;ОТ;PR;PR
43600;;характера;ХАРАКТЕР;S;m inan gen sg;;;ж и от характера зависит.  ;а;р;е;т;к;а;Р;ХАРАКТЕР;S;m inan gen sg
43601;;зависит;ЗАВИСЕТЬ;V;ipf praes sg indic - 3p;;;и от характера зависит.   Ну;.;т;и;с;и;в;Ь;ЗАВИСЕТЬ.;V;ipf praes sg indic - 3p
43602;;;;;;;;;;;;;;;;;;
43603;"<speech role=""Е@"" />";;;;;;;;;;;;;;;;;
43604;;Ну;НУ;PART;PART;;;зависит.   Ну , да ,;у;Н;;;;;У;НУ;PART;PART
43605;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43606;;да;ДА;PART;PART;;; Ну , да , конечно. ;а;д;;;;;А;ДА;PART;PART
43607;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43608;;конечно;КОНЕЧНО;PARENTH;-;;;, да , конечно.   Кто;.;о;н;ч;е;н;О;КОНЕЧНО.;ADV;-
43609;;;;;;;;;;;;;;;;;;
43610;"<speech role=""Н@"" />";;;;;;;;;;;;;;;;;
43611;;Кто;КТО;SPRO;m-f - nom sg;;;конечно.   Кто сколько спит .;о;т;К;;;;О;КТО;S;m - nom sg
43612;;сколько;СКОЛЬКО;ADV;-;;;  Кто сколько спит . ;о;к;ь;л;о;к;О;СКОЛЬКО;ADV;-
43613;;спит;СПАТЬ;V;ipf praes sg indic - 3p;;; Кто сколько спит .  Поэтому;т;и;п;с;;;Ь;СПАТЬ;V;ipf praes sg indic - 3p
43614;;.;.;PUNCT;SENT;;;Кто сколько спит .  Поэтому это;.;;;;;;.;.;SENT;SENT
43615;;;;;;;;;;;;;;;;;;
43616;;Поэтому;ПОЭТОМУ;ADVPRO;-;;;спит .  Поэтому это ж такое;у;м;о;т;э;о;У;ПОЭТОМУ;ADV;-
43617;;это;ЭТО;S;n - nom sg;;;.  Поэтому это ж такое дело;о;т;э;;;;О;ЭТО;S;n - nom sg
43618;;ж;Ж;PART;PART;;; Поэтому это ж такое дело .;ж;;;;;;Ж;Ж;PART;PART
43619;;такое;ТАКОЙ;A;- nom sg plen n -;;;Поэтому это ж такое дело . ;е;о;к;а;т;;Й;ТАКОЙ;A;- nom sg plen n -
43620;;дело;ДЕЛО;S;n inan nom sg;;;это ж такое дело .  Вон;о;л;е;д;;;О;ДЕЛО;S;n inan nom sg
43621;;.;.;PUNCT;SENT;;;ж такое дело .  Вон бабушка;.;;;;;;.;.;SENT;SENT
43622;;;;;;;;;;;;;;;;;;
43623;;Вон;ВОН;PART;PART;;;дело .  Вон бабушка ваша -;н;о;В;;;;Н;ВОН;PART;PART
43624;;бабушка;БАБУШКА;S;f anim nom sg;;;.  Вон бабушка ваша - уже;а;к;ш;у;б;а;А;БАБУШКА;S;f anim nom sg
43625;;ваша;ВАШ;A;- nom sg plen f -;;; Вон бабушка ваша - уже в;а;ш;а;в;;;Ш;ВАШ;A;- nom sg plen f -
43626;;-;-;PUNCT;;;;;-;;;;;;-;-;-;-
